order_trip_id,driver_id,customer_id,restaurant_id,order_status,delivery_status,is_completed,order_total_usd,taxes_usd,tip_usd,gross_bookings_usd,customer_request_timestamp,restaurant_accept_timestamp,driver_accept_timestamp,driver_arrival_pickup_timestamp_utc,driver_dropoff_timestamp_utc,datestr
2195,495,196,40195,completed,completed,TRUE,59,5.90,7,71.90,51:39.0,03:10.2,14:41.4,26:12.6,37:43.8,1/12/2022
2196,496,197,40196,completed,completed,TRUE,37,3.70,9,49.70,35:02.0,46:33.2,58:04.4,09:35.6,21:06.8,2/26/2022
2197,497,198,40197,completed,completed,TRUE,70,7.00,13,90.00,31:20.0,42:51.2,54:22.4,05:53.6,17:24.8,2/13/2022
2198,498,199,40198,completed,completed,TRUE,58,5.80,8,71.80,36:41.0,48:12.2,59:43.4,11:14.6,22:45.8,1/25/2022
2199,499,200,40199,completed,completed,TRUE,64,6.40,13,83.40,27:55.0,39:26.2,50:57.4,02:28.6,13:59.8,1/12/2022
2200,500,201,40200,completed,completed,TRUE,22,2.20,15,39.20,40:48.0,52:19.2,03:50.4,15:21.6,26:52.8,2/8/2022
2201,501,202,40201,completed,completed,TRUE,44,4.40,7,55.40,51:44.0,03:15.2,14:46.4,26:17.6,37:48.8,1/22/2022
2202,502,203,40202,completed,completed,TRUE,39,3.90,6,48.90,24:23.0,35:54.2,47:25.4,58:56.6,10:27.8,2/15/2022
2203,503,204,40203,completed,completed,TRUE,18,1.80,5,24.80,59:43.0,11:14.2,22:45.4,34:16.6,45:47.8,1/2/2022
2204,504,205,40204,completed,completed,TRUE,51,5.10,7,63.10,22:05.0,33:36.2,45:07.4,56:38.6,08:09.8,2/24/2022
2205,505,206,40205,completed,completed,TRUE,36,3.60,10,49.60,45:27.0,56:58.2,08:29.4,20:00.6,31:31.8,2/17/2022
2206,506,207,40206,completed,completed,TRUE,52,5.20,12,69.20,30:04.0,41:35.2,53:06.4,04:37.6,16:08.8,1/25/2022
2207,507,208,40207,completed,completed,TRUE,42,4.20,9,55.20,13:29.0,25:00.2,36:31.4,48:02.6,59:33.8,1/8/2022
2208,508,209,40208,completed,completed,TRUE,51,5.10,9,65.10,24:53.0,36:24.2,47:55.4,59:26.6,10:57.8,2/27/2022
2209,509,210,40209,completed,completed,TRUE,63,6.30,6,75.30,48:17.0,59:48.2,11:19.4,22:50.6,34:21.8,1/7/2022
2210,510,211,40210,completed,completed,TRUE,65,6.50,9,80.50,03:20.0,14:51.2,26:22.4,37:53.6,49:24.8,1/30/2022
2211,511,212,40211,completed,completed,TRUE,18,1.80,12,31.80,41:03.0,52:34.2,04:05.4,15:36.6,27:07.8,1/28/2022
2212,512,213,40212,completed,completed,TRUE,34,3.40,6,43.40,21:55.0,33:26.2,44:57.4,56:28.6,07:59.8,1/19/2022
2213,513,214,40213,completed,completed,TRUE,20,2.00,12,34.00,29:31.0,41:02.2,52:33.4,04:04.6,15:35.8,1/18/2022
2214,514,215,40214,completed,completed,TRUE,35,3.50,11,49.50,17:16.0,28:47.2,40:18.4,51:49.6,03:20.8,2/19/2022
2215,515,216,40215,completed,completed,TRUE,52,5.20,14,71.20,13:27.0,24:58.2,36:29.4,48:00.6,59:31.8,2/19/2022
2216,516,217,40216,completed,completed,TRUE,67,6.70,5,78.70,14:03.0,25:34.2,37:05.4,48:36.6,00:07.8,1/27/2022
2217,517,218,40217,completed,completed,TRUE,33,3.30,6,42.30,18:31.0,30:02.2,41:33.4,53:04.6,04:35.8,1/18/2022
2218,518,219,40218,completed,completed,TRUE,55,5.50,6,66.50,29:51.0,41:22.2,52:53.4,04:24.6,15:55.8,1/13/2022
2219,519,220,40219,completed,completed,TRUE,28,2.80,5,35.80,56:11.0,07:42.2,19:13.4,30:44.6,42:15.8,2/14/2022
2220,520,221,40220,completed,completed,TRUE,47,4.70,8,59.70,23:03.0,34:34.2,46:05.4,57:36.6,09:07.8,2/13/2022
2221,521,222,40221,completed,completed,TRUE,16,1.60,15,32.60,58:52.0,10:23.2,21:54.4,33:25.6,44:56.8,2/13/2022
2222,522,223,40222,completed,completed,TRUE,31,3.10,10,44.10,19:58.0,31:29.2,43:00.4,54:31.6,06:02.8,2/19/2022
2223,523,224,40223,completed,completed,TRUE,20,2.00,6,28.00,25:06.0,36:37.2,48:08.4,59:39.6,11:10.8,2/12/2022
2224,524,225,40224,completed,completed,TRUE,44,4.40,7,55.40,04:36.0,16:07.2,27:38.4,39:09.6,50:40.8,2/14/2022
2225,525,226,40225,completed,completed,TRUE,53,5.30,14,72.30,25:46.0,37:17.2,48:48.4,00:19.6,11:50.8,1/27/2022
2226,526,227,40226,completed,completed,TRUE,38,3.80,12,53.80,59:34.0,11:05.2,22:36.4,34:07.6,45:38.8,1/30/2022
2227,527,228,40227,completed,completed,TRUE,62,6.20,6,74.20,31:26.0,42:57.2,54:28.4,05:59.6,17:30.8,2/2/2022
2228,528,229,40228,completed,completed,TRUE,49,4.90,7,60.90,02:05.0,13:36.2,25:07.4,36:38.6,48:09.8,1/27/2022
2229,529,230,40229,completed,completed,TRUE,18,1.80,7,26.80,05:13.0,16:44.2,28:15.4,39:46.6,51:17.8,1/22/2022
2230,530,231,40230,completed,completed,TRUE,40,4.00,6,50.00,48:11.0,59:42.2,11:13.4,22:44.6,34:15.8,2/13/2022
2231,531,232,40231,completed,completed,TRUE,48,4.80,9,61.80,41:03.0,52:34.2,04:05.4,15:36.6,27:07.8,1/14/2022
2232,532,233,40232,completed,completed,TRUE,66,6.60,5,77.60,59:02.0,10:33.2,22:04.4,33:35.6,45:06.8,1/2/2022
2233,533,234,40233,completed,completed,TRUE,32,3.20,10,45.20,02:37.0,14:08.2,25:39.4,37:10.6,48:41.8,2/13/2022
2234,534,235,40234,completed,completed,TRUE,60,6.00,13,79.00,05:20.0,16:51.2,28:22.4,39:53.6,51:24.8,1/16/2022
2235,535,236,40235,completed,completed,TRUE,70,7.00,12,89.00,33:52.0,45:23.2,56:54.4,08:25.6,19:56.8,1/2/2022
2236,536,237,40236,completed,completed,TRUE,25,2.50,11,38.50,29:55.0,41:26.2,52:57.4,04:28.6,15:59.8,2/4/2022
2237,537,238,40237,completed,completed,TRUE,17,1.70,7,25.70,00:57.0,12:28.2,23:59.4,35:30.6,47:01.8,2/21/2022
2238,538,239,40238,completed,completed,TRUE,40,4.00,7,51.00,31:09.0,42:40.2,54:11.4,05:42.6,17:13.8,2/22/2022
2239,539,240,40239,completed,completed,TRUE,26,2.60,6,34.60,14:30.0,26:01.2,37:32.4,49:03.6,00:34.8,2/19/2022
2240,540,241,40240,completed,completed,TRUE,56,5.60,15,76.60,36:18.0,47:49.2,59:20.4,10:51.6,22:22.8,2/22/2022
2241,541,242,40241,completed,completed,TRUE,56,5.60,9,70.60,27:15.0,38:46.2,50:17.4,01:48.6,13:19.8,2/21/2022
2242,542,243,40242,completed,completed,TRUE,42,4.20,6,52.20,04:42.0,16:13.2,27:44.4,39:15.6,50:46.8,2/7/2022
2243,543,244,40243,completed,completed,TRUE,59,5.90,13,77.90,16:42.0,28:13.2,39:44.4,51:15.6,02:46.8,2/21/2022
2244,544,245,40244,completed,completed,TRUE,20,2.00,6,28.00,26:59.0,38:30.2,50:01.4,01:32.6,13:03.8,2/25/2022
2245,545,246,40245,completed,completed,TRUE,34,3.40,10,47.40,09:42.0,21:13.2,32:44.4,44:15.6,55:46.8,2/24/2022
2246,546,247,40246,completed,completed,TRUE,67,6.70,5,78.70,34:35.0,46:06.2,57:37.4,09:08.6,20:39.8,1/13/2022
2247,547,248,40247,completed,completed,TRUE,26,2.60,13,41.60,59:24.0,10:55.2,22:26.4,33:57.6,45:28.8,1/18/2022
2248,548,249,40248,completed,completed,TRUE,65,6.50,11,82.50,58:06.0,09:37.2,21:08.4,32:39.6,44:10.8,1/18/2022
2249,549,250,40249,completed,completed,TRUE,26,2.60,13,41.60,35:13.0,46:44.2,58:15.4,09:46.6,21:17.8,2/23/2022
2250,550,251,40250,completed,completed,TRUE,30,3.00,9,42.00,05:16.0,16:47.2,28:18.4,39:49.6,51:20.8,1/28/2022
2251,551,252,40251,completed,completed,TRUE,22,2.20,9,33.20,53:22.0,04:53.2,16:24.4,27:55.6,39:26.8,1/26/2022
2252,552,253,40252,completed,completed,TRUE,63,6.30,13,82.30,51:12.0,02:43.2,14:14.4,25:45.6,37:16.8,2/13/2022
2253,553,254,40253,completed,completed,TRUE,54,5.40,6,65.40,31:25.0,42:56.2,54:27.4,05:58.6,17:29.8,1/5/2022
2254,554,255,40254,completed,completed,TRUE,23,2.30,13,38.30,57:34.0,09:05.2,20:36.4,32:07.6,43:38.8,1/19/2022
2255,555,256,40255,completed,completed,TRUE,62,6.20,6,74.20,42:59.0,54:30.2,06:01.4,17:32.6,29:03.8,2/13/2022
2256,556,257,40256,completed,completed,TRUE,60,6.00,14,80.00,14:05.0,25:36.2,37:07.4,48:38.6,00:09.8,2/13/2022
2257,557,258,40257,completed,completed,TRUE,15,1.50,7,23.50,14:44.0,26:15.2,37:46.4,49:17.6,00:48.8,1/7/2022
2258,558,259,40258,completed,completed,TRUE,29,2.90,7,38.90,01:14.0,12:45.2,24:16.4,35:47.6,47:18.8,2/13/2022
2259,559,260,40259,completed,completed,TRUE,17,1.70,13,31.70,38:23.0,49:54.2,01:25.4,12:56.6,24:27.8,2/26/2022
2260,560,261,40260,completed,completed,TRUE,60,6.00,10,76.00,21:28.0,32:59.2,44:30.4,56:01.6,07:32.8,1/19/2022
2261,561,262,40261,completed,completed,TRUE,31,3.10,6,40.10,09:48.0,21:19.2,32:50.4,44:21.6,55:52.8,1/30/2022
2262,562,263,40262,completed,completed,TRUE,55,5.50,6,66.50,21:50.0,33:21.2,44:52.4,56:23.6,07:54.8,1/19/2022
2263,563,264,40263,completed,completed,TRUE,16,1.60,8,25.60,09:25.0,20:56.2,32:27.4,43:58.6,55:29.8,1/24/2022
2264,564,265,40264,completed,completed,TRUE,35,3.50,6,44.50,09:25.0,20:56.2,32:27.4,43:58.6,55:29.8,2/20/2022
2265,565,266,40265,completed,completed,TRUE,61,6.10,10,77.10,53:32.0,05:03.2,16:34.4,28:05.6,39:36.8,1/13/2022
2266,566,267,40266,completed,completed,TRUE,26,2.60,5,33.60,33:58.0,45:29.2,57:00.4,08:31.6,20:02.8,2/12/2022
2267,567,268,40267,completed,completed,TRUE,29,2.90,8,39.90,53:03.0,04:34.2,16:05.4,27:36.6,39:07.8,2/5/2022
2268,568,269,40268,completed,completed,TRUE,37,3.70,11,51.70,59:47.0,11:18.2,22:49.4,34:20.6,45:51.8,1/27/2022
2269,569,270,40269,completed,completed,TRUE,21,2.10,6,29.10,10:37.0,22:08.2,33:39.4,45:10.6,56:41.8,1/11/2022
2270,570,271,40270,completed,completed,TRUE,39,3.90,5,47.90,27:04.0,38:35.2,50:06.4,01:37.6,13:08.8,2/4/2022
2271,571,272,40271,completed,completed,TRUE,43,4.30,7,54.30,52:12.0,03:43.2,15:14.4,26:45.6,38:16.8,1/7/2022
2272,572,273,40272,completed,completed,TRUE,20,2.00,13,35.00,57:24.0,08:55.2,20:26.4,31:57.6,43:28.8,1/9/2022
2273,573,274,40273,completed,completed,TRUE,70,7.00,5,82.00,25:28.0,36:59.2,48:30.4,00:01.6,11:32.8,1/7/2022
2274,574,275,40274,completed,completed,TRUE,39,3.90,12,54.90,30:02.0,41:33.2,53:04.4,04:35.6,16:06.8,1/23/2022
2275,575,276,40275,completed,completed,TRUE,23,2.30,14,39.30,14:14.0,25:45.2,37:16.4,48:47.6,00:18.8,2/12/2022
2276,576,277,40276,completed,completed,TRUE,28,2.80,10,40.80,55:22.0,06:53.2,18:24.4,29:55.6,41:26.8,1/1/2022
2277,577,278,40277,completed,completed,TRUE,15,1.50,5,21.50,38:43.0,50:14.2,01:45.4,13:16.6,24:47.8,2/13/2022
2278,578,279,40278,completed,completed,TRUE,15,1.50,12,28.50,44:53.0,56:24.2,07:55.4,19:26.6,30:57.8,2/13/2022
2279,579,280,40279,completed,completed,TRUE,17,1.70,7,25.70,53:43.0,05:14.2,16:45.4,28:16.6,39:47.8,2/18/2022
2280,580,281,40280,completed,completed,TRUE,59,5.90,5,69.90,20:37.0,32:08.2,43:39.4,55:10.6,06:41.8,1/27/2022
2281,581,282,40281,completed,completed,TRUE,34,3.40,12,49.40,25:03.0,36:34.2,48:05.4,59:36.6,11:07.8,1/9/2022
2282,582,283,40282,completed,completed,TRUE,28,2.80,12,42.80,29:36.0,41:07.2,52:38.4,04:09.6,15:40.8,1/18/2022
2283,583,284,40283,completed,completed,TRUE,32,3.20,8,43.20,44:14.0,55:45.2,07:16.4,18:47.6,30:18.8,1/26/2022
2284,584,285,40284,completed,completed,TRUE,28,2.80,8,38.80,53:35.0,05:06.2,16:37.4,28:08.6,39:39.8,1/23/2022
2285,585,286,40285,completed,completed,TRUE,61,6.10,7,74.10,01:58.0,13:29.2,25:00.4,36:31.6,48:02.8,1/24/2022
2286,586,287,40286,completed,completed,TRUE,44,4.40,5,53.40,24:52.0,36:23.2,47:54.4,59:25.6,10:56.8,2/18/2022
2287,587,288,40287,completed,completed,TRUE,44,4.40,12,60.40,10:06.0,21:37.2,33:08.4,44:39.6,56:10.8,2/4/2022
2288,588,289,40288,completed,completed,TRUE,38,3.80,13,54.80,23:39.0,35:10.2,46:41.4,58:12.6,09:43.8,2/26/2022
2289,589,290,40289,completed,completed,TRUE,39,3.90,10,52.90,17:48.0,29:19.2,40:50.4,52:21.6,03:52.8,2/13/2022
2290,590,291,40290,completed,completed,TRUE,50,5.00,5,60.00,38:23.0,49:54.2,01:25.4,12:56.6,24:27.8,2/7/2022
2291,591,292,40291,completed,completed,TRUE,27,2.70,15,44.70,59:58.0,11:29.2,23:00.4,34:31.6,46:02.8,2/11/2022
2292,592,293,40292,completed,completed,TRUE,16,1.60,13,30.60,13:06.0,24:37.2,36:08.4,47:39.6,59:10.8,2/28/2022
2293,593,294,40293,completed,completed,TRUE,15,1.50,9,25.50,30:12.0,41:43.2,53:14.4,04:45.6,16:16.8,2/13/2022
2294,594,295,40294,completed,completed,TRUE,64,6.40,10,80.40,05:50.0,17:21.2,28:52.4,40:23.6,51:54.8,2/13/2022
2295,595,296,40295,completed,completed,TRUE,34,3.40,15,52.40,39:11.0,50:42.2,02:13.4,13:44.6,25:15.8,1/15/2022
2296,596,297,40296,completed,completed,TRUE,24,2.40,14,40.40,00:21.0,11:52.2,23:23.4,34:54.6,46:25.8,1/18/2022
2297,597,298,40297,completed,completed,TRUE,64,6.40,8,78.40,54:53.0,06:24.2,17:55.4,29:26.6,40:57.8,2/5/2022
2298,598,299,40298,completed,completed,TRUE,56,5.60,7,68.60,56:19.0,07:50.2,19:21.4,30:52.6,42:23.8,2/2/2022
2299,599,300,40299,completed,completed,TRUE,15,1.50,13,29.50,19:33.0,31:04.2,42:35.4,54:06.6,05:37.8,1/24/2022
2300,600,301,40300,completed,completed,TRUE,29,2.90,7,38.90,54:12.0,05:43.2,17:14.4,28:45.6,40:16.8,1/12/2022
2301,601,302,40301,completed,completed,TRUE,22,2.20,14,38.20,37:30.0,49:01.2,00:32.4,12:03.6,23:34.8,2/11/2022
2302,602,303,40302,completed,completed,TRUE,39,3.90,7,49.90,05:08.0,16:39.2,28:10.4,39:41.6,51:12.8,2/13/2022
2303,603,304,40303,completed,completed,TRUE,39,3.90,7,49.90,10:09.0,21:40.2,33:11.4,44:42.6,56:13.8,2/13/2022
2304,604,305,40304,completed,completed,TRUE,70,7.00,15,92.00,38:58.0,50:29.2,02:00.4,13:31.6,25:02.8,2/28/2022
2305,605,306,40305,completed,completed,TRUE,41,4.10,14,59.10,59:57.0,11:28.2,22:59.4,34:30.6,46:01.8,2/1/2022
2306,606,307,40306,completed,completed,TRUE,52,5.20,7,64.20,56:01.0,07:32.2,19:03.4,30:34.6,42:05.8,2/24/2022
2307,607,308,40307,completed,completed,TRUE,19,1.90,15,35.90,44:17.0,55:48.2,07:19.4,18:50.6,30:21.8,2/11/2022
2308,608,309,40308,completed,completed,TRUE,49,4.90,13,66.90,41:25.0,52:56.2,04:27.4,15:58.6,27:29.8,1/31/2022
2309,609,310,40309,completed,completed,TRUE,25,2.50,15,42.50,55:36.0,07:07.2,18:38.4,30:09.6,41:40.8,1/4/2022
2310,610,311,40310,completed,completed,TRUE,51,5.10,5,61.10,59:34.0,11:05.2,22:36.4,34:07.6,45:38.8,2/8/2022
2311,611,312,40311,completed,completed,TRUE,29,2.90,7,38.90,52:38.0,04:09.2,15:40.4,27:11.6,38:42.8,2/22/2022
2312,612,313,40312,completed,completed,TRUE,68,6.80,6,80.80,08:09.0,19:40.2,31:11.4,42:42.6,54:13.8,2/13/2022
2313,613,314,40313,completed,completed,TRUE,66,6.60,11,83.60,56:13.0,07:44.2,19:15.4,30:46.6,42:17.8,1/14/2022
2314,614,315,40314,completed,completed,TRUE,16,1.60,14,31.60,44:16.0,55:47.2,07:18.4,18:49.6,30:20.8,2/26/2022
2315,615,316,40315,completed,completed,TRUE,30,3.00,13,46.00,54:27.0,05:58.2,17:29.4,29:00.6,40:31.8,2/1/2022
2316,616,317,40316,completed,completed,TRUE,59,5.90,10,74.90,43:44.0,55:15.2,06:46.4,18:17.6,29:48.8,2/13/2022
2317,617,318,40317,completed,completed,TRUE,19,1.90,13,33.90,46:45.0,58:16.2,09:47.4,21:18.6,32:49.8,2/23/2022
2318,618,319,40318,completed,completed,TRUE,46,4.60,8,58.60,10:40.0,22:11.2,33:42.4,45:13.6,56:44.8,2/7/2022
2319,619,320,40319,completed,completed,TRUE,38,3.80,5,46.80,23:30.0,35:01.2,46:32.4,58:03.6,09:34.8,2/8/2022
2320,620,321,40320,completed,completed,TRUE,22,2.20,13,37.20,07:02.0,18:33.2,30:04.4,41:35.6,53:06.8,2/12/2022
2321,621,322,40321,completed,completed,TRUE,63,6.30,11,80.30,22:11.0,33:42.2,45:13.4,56:44.6,08:15.8,2/13/2022
2322,622,323,40322,completed,completed,TRUE,52,5.20,8,65.20,39:24.0,50:55.2,02:26.4,13:57.6,25:28.8,1/3/2022
2323,623,324,40323,completed,completed,TRUE,56,5.60,12,73.60,56:46.0,08:17.2,19:48.4,31:19.6,42:50.8,1/13/2022
2324,624,325,40324,completed,completed,TRUE,34,3.40,11,48.40,35:16.0,46:47.2,58:18.4,09:49.6,21:20.8,1/15/2022
2325,625,326,40325,completed,completed,TRUE,26,2.60,9,37.60,04:15.0,15:46.2,27:17.4,38:48.6,50:19.8,1/28/2022
2326,626,327,40326,completed,completed,TRUE,31,3.10,6,40.10,07:34.0,19:05.2,30:36.4,42:07.6,53:38.8,2/24/2022
2327,627,328,40327,completed,completed,TRUE,33,3.30,9,45.30,29:37.0,41:08.2,52:39.4,04:10.6,15:41.8,1/27/2022
2328,628,329,40328,completed,completed,TRUE,24,2.40,15,41.40,02:21.0,13:52.2,25:23.4,36:54.6,48:25.8,2/11/2022
2329,629,330,40329,completed,completed,TRUE,19,1.90,5,25.90,03:52.0,15:23.2,26:54.4,38:25.6,49:56.8,2/25/2022
2330,630,331,40330,completed,completed,TRUE,52,5.20,6,63.20,38:04.0,49:35.2,01:06.4,12:37.6,24:08.8,2/15/2022
2331,631,332,40331,completed,completed,TRUE,41,4.10,7,52.10,01:46.0,13:17.2,24:48.4,36:19.6,47:50.8,2/13/2022
2332,632,333,40332,completed,completed,TRUE,41,4.10,9,54.10,19:47.0,31:18.2,42:49.4,54:20.6,05:51.8,2/13/2022
2333,633,334,40333,completed,completed,TRUE,29,2.90,6,37.90,08:29.0,20:00.2,31:31.4,43:02.6,54:33.8,1/5/2022
2334,634,335,40334,completed,completed,TRUE,60,6.00,5,71.00,00:48.0,12:19.2,23:50.4,35:21.6,46:52.8,1/6/2022
2335,635,336,40335,completed,completed,TRUE,60,6.00,6,72.00,24:22.0,35:53.2,47:24.4,58:55.6,10:26.8,2/12/2022
2336,636,337,40336,completed,completed,TRUE,33,3.30,10,46.30,16:03.0,27:34.2,39:05.4,50:36.6,02:07.8,1/9/2022
2337,637,338,40337,completed,completed,TRUE,16,1.60,8,25.60,31:49.0,43:20.2,54:51.4,06:22.6,17:53.8,2/18/2022
2338,638,339,40338,completed,completed,TRUE,18,1.80,8,27.80,44:08.0,55:39.2,07:10.4,18:41.6,30:12.8,2/24/2022
2339,639,340,40339,completed,completed,TRUE,58,5.80,12,75.80,49:10.0,00:41.2,12:12.4,23:43.6,35:14.8,2/13/2022
2340,640,341,40340,completed,completed,TRUE,35,3.50,6,44.50,21:53.0,33:24.2,44:55.4,56:26.6,07:57.8,2/13/2022
2341,641,342,40341,completed,completed,TRUE,42,4.20,8,54.20,26:52.0,38:23.2,49:54.4,01:25.6,12:56.8,2/22/2022
2342,642,343,40342,completed,completed,TRUE,63,6.30,5,74.30,39:44.0,51:15.2,02:46.4,14:17.6,25:48.8,1/10/2022
2343,643,344,40343,completed,completed,TRUE,20,2.00,11,33.00,36:25.0,47:56.2,59:27.4,10:58.6,22:29.8,2/18/2022
2344,644,345,40344,completed,completed,TRUE,15,1.50,15,31.50,06:04.0,17:35.2,29:06.4,40:37.6,52:08.8,1/17/2022
2345,645,346,40345,completed,completed,TRUE,54,5.40,10,69.40,50:59.0,02:30.2,14:01.4,25:32.6,37:03.8,1/15/2022
2346,646,347,40346,completed,completed,TRUE,23,2.30,14,39.30,53:09.0,04:40.2,16:11.4,27:42.6,39:13.8,1/6/2022
2347,647,348,40347,completed,completed,TRUE,45,4.50,12,61.50,39:25.0,50:56.2,02:27.4,13:58.6,25:29.8,1/16/2022
2348,648,349,40348,completed,completed,TRUE,70,7.00,10,87.00,48:26.0,59:57.2,11:28.4,22:59.6,34:30.8,2/5/2022
2349,649,350,40349,completed,completed,TRUE,28,2.80,14,44.80,25:42.0,37:13.2,48:44.4,00:15.6,11:46.8,1/31/2022
2350,650,351,40350,completed,completed,TRUE,52,5.20,9,66.20,07:17.0,18:48.2,30:19.4,41:50.6,53:21.8,2/24/2022
2351,651,352,40351,completed,completed,TRUE,35,3.50,12,50.50,08:35.0,20:06.2,31:37.4,43:08.6,54:39.8,1/11/2022
2352,652,353,40352,completed,completed,TRUE,68,6.80,8,82.80,23:52.0,35:23.2,46:54.4,58:25.6,09:56.8,1/30/2022
2353,653,354,40353,completed,completed,TRUE,59,5.90,8,72.90,11:33.0,23:04.2,34:35.4,46:06.6,57:37.8,1/24/2022
2354,654,355,40354,completed,completed,TRUE,38,3.80,7,48.80,05:22.0,16:53.2,28:24.4,39:55.6,51:26.8,2/26/2022
2355,655,356,40355,completed,completed,TRUE,26,2.60,13,41.60,29:34.0,41:05.2,52:36.4,04:07.6,15:38.8,1/6/2022
2356,656,357,40356,completed,completed,TRUE,22,2.20,11,35.20,02:49.0,14:20.2,25:51.4,37:22.6,48:53.8,1/1/2022
2357,657,358,40357,completed,completed,TRUE,44,4.40,9,57.40,02:03.0,13:34.2,25:05.4,36:36.6,48:07.8,2/13/2022
2358,658,359,40358,completed,completed,TRUE,65,6.50,8,79.50,04:29.0,16:00.2,27:31.4,39:02.6,50:33.8,2/1/2022
2359,659,360,40359,completed,completed,TRUE,51,5.10,14,70.10,25:05.0,36:36.2,48:07.4,59:38.6,11:09.8,2/12/2022
2360,660,361,40360,completed,completed,TRUE,42,4.20,14,60.20,31:25.0,42:56.2,54:27.4,05:58.6,17:29.8,2/13/2022
2361,661,362,40361,completed,completed,TRUE,62,6.20,8,76.20,28:54.0,40:25.2,51:56.4,03:27.6,14:58.8,2/13/2022
2362,662,363,40362,completed,completed,TRUE,30,3.00,5,38.00,20:20.0,31:51.2,43:22.4,54:53.6,06:24.8,2/5/2022
2363,663,364,40363,completed,completed,TRUE,18,1.80,6,25.80,31:19.0,42:50.2,54:21.4,05:52.6,17:23.8,1/15/2022
2364,664,365,40364,completed,completed,TRUE,55,5.50,15,75.50,15:34.0,27:05.2,38:36.4,50:07.6,01:38.8,2/16/2022
2365,665,366,40365,completed,completed,TRUE,53,5.30,5,63.30,23:49.0,35:20.2,46:51.4,58:22.6,09:53.8,1/10/2022
2366,666,367,40366,completed,completed,TRUE,59,5.90,10,74.90,18:28.0,29:59.2,41:30.4,53:01.6,04:32.8,2/20/2022
2367,667,368,40367,completed,completed,TRUE,70,7.00,9,86.00,25:11.0,36:42.2,48:13.4,59:44.6,11:15.8,2/28/2022
2368,668,369,40368,completed,completed,TRUE,46,4.60,5,55.60,21:11.0,32:42.2,44:13.4,55:44.6,07:15.8,2/12/2022
2369,669,370,40369,completed,completed,TRUE,19,1.90,11,31.90,40:50.0,52:21.2,03:52.4,15:23.6,26:54.8,2/2/2022
2370,670,371,40370,completed,completed,TRUE,25,2.50,5,32.50,26:29.0,38:00.2,49:31.4,01:02.6,12:33.8,1/18/2022
2371,671,372,40371,completed,completed,TRUE,19,1.90,15,35.90,29:52.0,41:23.2,52:54.4,04:25.6,15:56.8,2/14/2022
2372,672,373,40372,completed,completed,TRUE,54,5.40,14,73.40,34:17.0,45:48.2,57:19.4,08:50.6,20:21.8,2/28/2022
2373,673,374,40373,completed,completed,TRUE,51,5.10,9,65.10,06:03.0,17:34.2,29:05.4,40:36.6,52:07.8,2/13/2022
2374,674,375,40374,completed,completed,TRUE,57,5.70,7,69.70,26:49.0,38:20.2,49:51.4,01:22.6,12:53.8,1/12/2022
2375,675,376,40375,completed,completed,TRUE,66,6.60,11,83.60,21:33.0,33:04.2,44:35.4,56:06.6,07:37.8,2/21/2022
2376,676,377,40376,completed,completed,TRUE,52,5.20,9,66.20,01:48.0,13:19.2,24:50.4,36:21.6,47:52.8,2/11/2022
2377,677,378,40377,completed,completed,TRUE,66,6.60,15,87.60,10:05.0,21:36.2,33:07.4,44:38.6,56:09.8,2/13/2022
2378,678,379,40378,completed,completed,TRUE,69,6.90,11,86.90,58:30.0,10:01.2,21:32.4,33:03.6,44:34.8,2/4/2022
2379,679,380,40379,completed,completed,TRUE,30,3.00,10,43.00,41:14.0,52:45.2,04:16.4,15:47.6,27:18.8,2/21/2022
2380,680,381,40380,completed,completed,TRUE,38,3.80,14,55.80,36:04.0,47:35.2,59:06.4,10:37.6,22:08.8,1/27/2022
2381,681,382,40381,completed,completed,TRUE,27,2.70,6,35.70,31:50.0,43:21.2,54:52.4,06:23.6,17:54.8,1/29/2022
2382,682,383,40382,completed,completed,TRUE,46,4.60,10,60.60,11:24.0,22:55.2,34:26.4,45:57.6,57:28.8,1/15/2022
2383,683,384,40383,completed,completed,TRUE,15,1.50,12,28.50,41:09.0,52:40.2,04:11.4,15:42.6,27:13.8,1/3/2022
2384,684,385,40384,completed,completed,TRUE,52,5.20,15,72.20,12:56.0,24:27.2,35:58.4,47:29.6,59:00.8,2/13/2022
2385,685,386,40385,completed,completed,TRUE,37,3.70,13,53.70,40:25.0,51:56.2,03:27.4,14:58.6,26:29.8,2/4/2022
2386,686,387,40386,completed,completed,TRUE,27,2.70,5,34.70,35:50.0,47:21.2,58:52.4,10:23.6,21:54.8,2/11/2022
2387,687,388,40387,completed,completed,TRUE,49,4.90,12,65.90,26:19.0,37:50.2,49:21.4,00:52.6,12:23.8,2/20/2022
2388,688,389,40388,completed,completed,TRUE,45,4.50,9,58.50,05:29.0,17:00.2,28:31.4,40:02.6,51:33.8,1/31/2022
2389,689,390,40389,completed,completed,TRUE,39,3.90,10,52.90,45:29.0,57:00.2,08:31.4,20:02.6,31:33.8,1/11/2022
2390,690,391,40390,completed,completed,TRUE,18,1.80,11,30.80,14:43.0,26:14.2,37:45.4,49:16.6,00:47.8,1/31/2022
2391,691,392,40391,completed,completed,TRUE,55,5.50,14,74.50,27:06.0,38:37.2,50:08.4,01:39.6,13:10.8,1/14/2022
